@relation VBTestReal
@attribute m_x numeric
@attribute sd_x numeric
@attribute m_y numeric
@attribute sd_y numeric
@attribute m_z numeric
@attribute sd_z numeric
@attribute label {jumping, spiking,setting,recieving,moving}
@data
-80.44444,671.3756,155.44444,471.21017,57.011112,260.74048,jumping
-58.305557,682.5365,198.66112,575.9066,44.08889,283.52078,jumping
-87.70556,850.41223,353.36667,783.7563,-12.105556,308.69916,jumping
-91.63333,915.0002,313.22778,669.222,-4.15,306.25742,jumping
-85.494446,811.91327,318.95557,742.67505,18.794445,235.99062,jumping
-213.58888,529.44745,518.11664,850.0043,30.055555,138.34389,jumping
-92.8,770.80383,393.09445,890.34467,-39.566666,291.7384,jumping
-127.04444,793.4357,378.80554,905.4944,-14.6,338.48987,jumping
-107.077774,792.1985,403.45,908.12634,-31.8,305.53763,jumping
-232.0389,542.1747,536.1055,859.14526,59.572224,169.87614,jumping
-227.06667,748.2112,255.66667,739.88586,-72.79444,530.0799,spiking
-199.05,907.7625,165.25555,756.52814,26.088888,779.57587,spiking
-159.18333,910.1264,99.7,735.8672,37.666668,815.6594,spiking
-228.21666,496.85098,409.06668,597.37805,-78.04444,163.8088,spiking
-172.84445,551.38367,0.4888889,451.18643,166.67223,453.4626,spiking
-252.2111,700.54913,34.194443,214.30696,62.47778,322.97717,spiking
-205.11111,902.70703,111.76667,575.1196,-5.9,546.23126,spiking
-266.27222,789.0739,108.28889,531.6837,16.838888,467.14963,spiking
-286.27777,662.2323,121.06111,303.96378,-3.5555556,310.68515,spiking
-307.65555,787.332,166.71666,517.28595,4.7555556,439.2383,spiking
-283.60556,869.6665,120.48889,487.35446,0.37777779,506.05612,spiking
-292.8889,847.7511,122.03889,484.97214,-4.161111,490.9845,spiking
-299.4111,858.5233,112.683334,491.6197,-3.3333333,472.0477,spiking
-258.35556,883.6951,193.23889,586.9581,-32.788887,531.7558,spiking
-269.17776,484.1557,8.538889,193.28423,-1.85,319.33673,setting
-244.71666,568.1728,-10.433333,258.32486,31.005556,363.968,setting
-246.49445,606.926,-26.411112,216.53165,37.788887,302.38885,setting
-240.36111,474.46484,-22.894444,185.32253,70.255554,283.18484,setting
-201.10556,759.1146,-50.08889,293.20145,42.45,376.86575,setting
-239.65,522.8526,-16.372223,239.11247,18.588888,361.47174,setting
-214.30556,679.33887,-49.02222,253.99062,20.211111,397.9488,setting
-138.9611,667.7182,-74.86667,303.62903,29.372223,351.85672,setting
-191.51666,669.4077,-50.544445,296.1494,42.15,329.0727,setting
-190.50555,651.72577,-56.694443,285.1969,36.327778,315.2848,setting
-244.27777,510.4532,-18.294445,199.4772,40.761112,329.1235,setting
-236.25,631.1458,4.15,271.37686,35.22222,361.05203,setting
-229.86667,615.0213,-26.666666,220.64145,79.977776,358.80954,setting
-173.67223,731.60394,-12.283334,293.34708,70.78889,398.42938,setting
-211.64444,621.9109,-12.305555,271.9981,59.783333,356.26453,setting
-227.07777,590.1827,-9.683333,250.88571,22.677778,329.57623,setting
-231.33888,595.5942,-80.583336,253.19133,29.466667,308.76346,setting
-206.83888,613.9122,-62.405556,231.09975,40.544445,309.6799,setting
-225.01666,562.87946,41.444443,359.7637,11.205556,385.37286,setting
-267.3611,518.2595,377.03888,693.8444,150.31111,271.8996,recieving
-181.47778,448.52463,344.29443,592.0039,96.42778,303.73834,recieving
-241.93889,556.0514,413.02777,748.7272,157.05556,302.5824,recieving
-175.32222,315.3001,184.16667,352.49432,100.905556,226.22836,recieving
-230.71666,482.26968,408.36667,648.2753,112.80556,246.68193,recieving
-159.97778,725.56354,466.8389,873.4548,22.727777,300.2727,recieving
-198.01666,392.86685,432.7,685.1558,127.46111,266.9273,recieving
-151.35,600.84045,331.44446,601.705,116.23889,364.72696,recieving
-236.33888,449.15875,361.7,621.2877,47.233334,269.31174,recieving
-215.44444,468.8007,307.47223,588.31494,151.4,261.28928,recieving
-176.2,388.50522,349.83334,562.6734,118.55556,270.0697,recieving
-156.75,383.85526,328.1,504.91803,111.53889,300.18497,recieving
-186.37778,552.0657,264.01666,453.44882,101.611115,307.24756,recieving
-231.95555,549.5352,408.48334,783.771,158.91667,289.3028,recieving
-185.57222,420.47992,236.97778,391.67816,71.80556,235.16608,recieving
-147.6,291.46838,306.55554,500.81302,112.44444,214.50331,recieving
-125.905556,578.2695,320.60556,589.802,87.67778,314.24356,recieving
-237.87222,630.81177,275.65,472.43716,105.7,317.81073,recieving
-137.72223,507.0763,458.62778,677.97076,-55.91111,282.91922,recieving
-183.38333,469.85104,414.52777,780.1928,140.98889,289.01993,recieving
-217.67223,550.2822,284.3611,508.01855,56.3,237.45343,recieving
-146.74445,283.2856,377.42776,647.2411,127.55556,233.45029,recieving
-263.3278,498.22308,412.28888,716.6117,177.61111,302.86777,recieving
-174.13889,432.49496,291.24445,508.89465,83.844444,255.1798,recieving
-137.27777,454.9261,334.40555,567.4422,60.75,263.62793,recieving
-272.95,526.4784,359.75,653.6207,140.65,260.34387,recieving
-193.49445,398.33322,291.47778,538.47546,130.02222,246.7676,recieving
